LFQ	29	0	0	19393	0	0	74	445	1244	1904	2717	62	126	387	883	876	2268	315	371	1122	1442	787	1088	1629	3382	5171	1648	4127	4241	4862	4131	11616	11485	7967	21567	17415	36858	31401	50217	91935	114274	283932	899946	0
LFQ	30	0	0	20033	0	0	69	469	1206	1904	2281	62	126	466	1046	910	2082	300	357	1011	1360	817	1125	1699	3485	4957	1417	4343	3962	5195	4198	10897	11580	8007	20832	17911	37591	32830	51897	87774	118803	278722	901582	0
LFQ	31	0	0	20656	0	0	72	469	1290	1964	2235	98	182	611	1478	1114	2410	217	358	1032	1223	1314	1194	2519	4838	6201	1834	5750	4144	10155	5231	19519	17748	12925	48330	36122	54258	53658	143643	175460	310793	372839	319420	0
LFQ	32	0	0	21164	0	0	83	536	1317	2101	2119	110	167	612	1412	1161	1908	226	344	1112	1314	1156	1159	2329	4202	5083	1245	5208	3859	7592	4481	12271	14130	10275	26748	27394	44873	41797	80689	138807	305962	432556	435800	0
LFQ	33	0	0	21772	0	0	76	526	1319	1997	1728	89	166	524	1309	1008	1519	238	314	1135	1347	1211	1121	2425	4126	4391	1018	5377	3690	7277	4421	10199	13057	9655	21762	23575	45870	40614	64803	99293	184752	396152	663445	0
LFQ	34	0	0	22647	0	0	77	517	1309	1978	1518	97	163	520	1334	981	1209	235	363	1191	1355	1314	1106	2320	4142	4092	854	5419	3625	7413	4590	8874	12825	9366	20106	23000	49625	40797	65598	87048	150905	287727	817059	0
LFQ	35	0	0	23105	0	0	104	501	1367	2183	1354	76	228	666	1424	962	1046	206	371	1274	1409	1357	1101	2481	3996	2668	2025	5713	3373	7741	4791	8265	13020	9940	19121	23967	53960	43211	69533	83068	147146	249305	851240	0
LFQ	36	0	0	23899	0	0	106	579	1429	2208	1194	117	183	511	1448	1017	846	246	439	1282	1358	1449	1133	2683	3971	2360	1929	6059	3463	7964	5350	7923	13568	10210	18860	25452	58562	46875	74457	80557	151106	235534	846969	0
LFQ	37	0	0	24531	0	0	121	596	1499	2391	1059	143	213	652	1576	1029	773	226	385	1475	1380	1539	1126	2776	4189	2302	1987	6346	3325	8617	5247	7913	14109	10721	18810	26895	64972	50474	81662	79223	156756	225316	830938	0
LFQ	38	0	0	25306	0	0	106	629	1537	2463	876	146	225	530	1680	1034	641	187	435	1485	1338	1744	1198	2969	4190	2032	2079	6747	3228	8949	5618	7397	14571	11267	18986	28555	71135	55348	90110	78444	164744	219237	806123	0
LFQ	39	0	0	25997	0	0	140	573	1554	2562	686	127	254	568	1764	917	519	209	434	1529	1265	1512	1204	3306	3951	1807	2158	7369	3198	9309	5931	7320	15218	11932	18675	30459	78969	60292	97606	77217	173478	212198	781081	0
LFQ	40	0	0	26724	0	0	133	616	1637	2601	588	155	323	557	1840	893	478	241	409	1661	1274	1767	1215	3442	3825	1667	2122	7721	3096	9889	6236	7082	15434	12453	18893	32604	88745	66687	104906	75240	183957	204647	751529	0
LFQ	41	0	0	27480	0	0	115	602	1594	2595	416	201	363	570	1957	866	412	233	428	1818	1247	1838	1196	3699	3587	1577	2213	8149	3079	10020	6823	7187	16202	13257	18660	34984	98568	73446	113176	74127	196335	197926	716339	0
LFQ	42	0	0	28240	0	0	129	620	1675	2632	395	174	316	486	1935	806	355	246	468	1782	1260	1849	1320	3929	3555	1428	2344	8694	2980	10179	7172	7468	16940	13862	19097	37520	110246	80842	122370	73301	207308	190848	678512	0
LFQ	43	0	0	29075	0	0	138	668	1809	2861	308	175	383	531	2046	789	336	224	453	2010	1236	1914	1346	4075	3441	1534	2351	9066	3042	10365	7893	7826	17394	14728	19528	40307	122210	89055	131479	71686	216081	183632	641286	0
LFQ	44	0	0	29815	0	0	136	664	1826	2742	192	207	449	570	2022	741	284	221	491	2123	1191	2022	1452	4379	3428	1378	2608	9482	2846	10420	8155	8192	17950	15375	20285	42157	136810	96479	143609	69019	225285	173676	604596	0
LFQ	45	0	0	30638	0	0	150	552	1885	2766	142	223	428	522	2031	632	263	254	518	1832	1475	2220	1480	4198	3285	1401	2659	9856	2587	10145	8950	8803	18629	15981	21210	45189	152141	104077	155699	66782	234990	163509	565173	0
LFQ	46	0	0	31386	0	0	191	592	1904	2715	91	232	455	551	1928	593	235	249	513	2027	1452	2330	1463	4405	3211	1426	2724	10378	2526	10008	9762	9086	19044	16873	21915	47480	169976	112470	168435	64455	242458	154595	523138	0
LFQ	47	0	0	32309	0	0	164	572	2007	2661	73	298	432	465	2018	573	235	260	507	2055	1402	2442	1572	4436	2986	1535	2919	10870	2607	9968	10378	9814	19594	17385	22743	51260	188750	122713	180231	61257	249574	143611	480593	0
LFQ	48	0	0	33304	0	0	160	605	2169	2740	51	246	530	502	1936	529	235	250	547	2336	1406	2539	1599	4496	2770	1545	3163	11314	2509	9798	10962	10311	20067	18269	23992	54459	210147	131928	191274	58920	254117	133007	438535	0
LFQ	49	0	0	34251	0	0	198	598	2369	2673	36	294	611	527	2048	567	276	294	569	2293	1402	2692	1742	4620	2720	1528	3331	11725	2583	9629	11699	11122	20809	19050	25188	58104	230944	141946	203580	55307	259080	121219	395642	0
LFQ	50	0	0	35080	0	0	196	602	2389	2644	24	326	687	524	2124	510	281	239	606	2531	1421	2886	1821	4458	2331	2165	3527	12421	2687	9427	12498	11615	21263	19935	26633	62269	253006	153555	213398	51558	261568	109623	354433	0
LFQ	51	0	0	35988	0	0	214	536	2528	2378	20	357	666	499	2001	465	275	260	605	2628	1361	3061	1817	4392	2343	2252	3673	12614	2711	9290	13170	12594	21873	21054	28173	67418	277306	164911	223488	49028	260311	98997	312002	0
LFQ	52	0	0	36913	0	0	228	542	2516	2255	8	363	705	467	1821	416	344	253	690	2720	1291	3151	1879	4209	2380	2457	3934	13040	2806	8904	14053	13003	22374	21833	29201	71663	303058	175819	231886	44775	260521	87313	273466	0
LFQ	53	0	0	37889	0	0	229	535	2687	2032	4	369	760	462	1791	430	360	295	656	2827	1299	3321	1921	3913	2206	2545	4044	13304	2907	8518	14935	13507	22697	22407	31549	76613	331595	187641	238035	40906	254890	76499	236679	0
LFQ	54	0	0	38936	0	0	262	540	2946	2089	5	396	727	483	1723	402	355	288	691	2949	1241	3488	1933	3922	2187	2551	4351	13807	3017	7915	15386	13806	23409	23134	33132	80380	360906	198258	244649	37529	246520	65986	202955	0
LFQ	55	0	0	39979	0	0	248	464	2931	1873	8	476	786	493	1604	390	407	274	710	2951	1348	3528	1947	3764	2304	2640	4680	13320	3937	7462	16286	14423	24027	23963	34712	85363	391087	209455	250165	33770	233679	56262	171538	0
LFQ	56	0	0	40964	0	0	243	525	3178	1847	5	419	784	506	1569	367	387	275	714	3207	1321	3693	2042	3483	2271	2876	5066	13375	4088	7216	17252	14619	25043	24669	36512	91033	422690	218244	252506	30083	219622	47680	142879	0
LFQ	57	0	0	42007	0	0	281	480	3297	1745	3	484	860	589	1578	343	474	281	753	3168	1226	4160	1916	3304	2332	2941	5266	13835	4384	6911	17763	15094	25698	25300	38139	95703	454056	228111	253148	26143	204700	39496	117282	0
LFQ	58	0	0	43178	0	0	313	443	3400	1652	3	538	849	511	1361	378	470	313	877	3418	1309	4328	1916	3042	2379	3159	5667	13659	4498	6429	18303	15361	26115	26160	40155	101233	490263	233679	250550	23250	187848	31966	94275	0
LFQ	59	0	0	44187	0	0	279	413	3444	1464	2	546	921	573	1338	347	491	322	863	3342	1438	4557	1926	2759	2497	3134	5953	13945	4939	6064	19155	15832	26966	26729	42325	107076	523074	241111	244247	20222	170521	25535	74708	0
LFQ	60	0	0	45326	0	0	308	428	3558	1386	0	579	913	548	1116	321	527	321	930	3472	1417	4676	1859	2600	2582	3382	6401	14006	5163	5735	20240	15931	27531	27682	43984	113108	556921	247202	235377	17137	151282	20517	58777	0
LFQ	61	0	0	46619	0	0	347	450	3854	1241	0	590	903	576	1097	321	635	331	962	3702	1512	4881	1913	2259	2805	3650	6931	13767	5491	5381	21147	16363	28895	28906	46066	118831	588306	252086	223377	14700	132593	15905	45848	0
LFQ	62	0	0	47697	0	0	362	458	3928	1085	2	686	1077	620	1031	285	582	318	1034	3749	1457	5128	1849	2080	2760	3848	7214	13554	5881	5279	21411	16637	29861	29549	48202	124364	623594	253218	210606	12317	114289	12256	34970	0
LFQ	63	0	0	48967	0	0	447	411	3948	1026	1	712	977	620	918	268	656	336	1087	3716	1610	5531	1690	1924	3054	3829	7569	13544	6316	4861	22276	17002	30881	30255	50041	131278	654548	255098	195118	10327	96589	9396	26410	0
LFQ	64	0	0	50430	0	0	385	398	4042	873	2	747	917	648	842	273	694	336	1191	3760	1741	5458	1749	1612	3190	4116	8443	13132	6554	4471	22786	16967	31655	31230	51344	135887	684747	256727	180644	8358	79557	7214	20115	0
LFQ	65	0	0	51736	0	0	402	348	4178	808	0	750	987	585	736	305	698	339	1116	3785	1887	5548	1638	1488	3142	4238	8857	12477	6775	4231	23568	17045	32032	31774	52597	141895	715148	255692	165273	6603	63998	5361	15194	0
LFQ	66	0	0	53095	0	0	404	325	4177	661	0	810	990	588	604	255	762	367	1179	3895	1958	5758	1468	1242	3462	4289	9689	12102	7161	3952	24060	17086	32973	32510	53649	146570	746909	250677	147191	5231	51577	4111	11497	0
LFQ	67	0	0	54632	0	0	421	398	4173	583	1	839	999	604	498	276	806	381	1173	4088	2034	5972	1400	1098	3432	4832	9949	11818	7661	3870	24704	17101	33442	33068	55293	151486	773614	245562	130512	4259	40272	3148	8835	0
LFQ	68	0	0	56209	0	0	439	281	4221	497	0	829	960	590	465	238	814	350	1244	3984	2157	5911	1237	887	3669	4837	10413	11288	8038	3681	24835	17721	34044	33852	56952	155843	798499	240223	114153	3284	31248	2388	6953	0
LFQ	69	0	0	58030	0	0	461	273	4450	440	1	903	919	617	379	249	847	363	1287	4061	2344	6117	1166	873	3738	4997	11281	10463	8398	3494	25670	17443	35106	34581	58713	160129	819720	233783	98143	2591	23891	1934	5379	0
LFQ	70	0	0	59863	0	0	417	301	4192	428	1	940	980	622	323	213	933	405	1342	4218	2537	6260	1080	728	4018	5202	11669	10135	8917	3436	26123	17850	35926	35536	60158	164955	839716	224280	83388	1949	18514	1538	4141	0
LFQ	71	0	0	62057	0	0	425	225	4242	375	1	1057	845	573	261	216	924	372	1330	4091	2666	6142	940	613	3938	5261	12405	9332	9408	3026	26553	17948	36996	36138	61093	170815	855591	217570	69676	1549	14195	1170	3215	0
LFQ	72	0	0	64491	0	0	460	230	4129	367	0	991	777	561	226	167	1019	371	1362	4142	2659	6106	821	525	4050	5550	12559	8599	9677	2925	26716	17974	36811	36747	62028	174658	873071	208263	58607	1178	10979	936	2502	0
LFQ	73	0	0	67145	0	0	509	191	3958	312	2	1004	732	606	170	208	1022	411	1370	4099	2890	6106	795	444	3993	5783	13283	7957	10118	2635	27535	18375	37765	37680	63463	178629	884448	198969	48485	930	8542	731	1939	0
LFQ	74	0	0	70313	0	0	407	178	3696	292	1	1017	637	508	143	163	1028	397	1433	4128	2899	6098	591	432	4222	5831	13659	7377	10609	2549	27831	18422	38732	38202	64991	181813	894560	189983	40514	766	6816	538	1458	0
LFQ	75	0	0	73721	0	0	382	126	3555	227	1	957	601	154	415	156	1009	378	1314	4154	3120	5666	503	392	4226	5835	13555	6635	10931	2365	27629	18587	38563	38699	65634	185297	905914	180603	34144	584	5696	407	1099	0
LFQ	76	0	0	77904	0	0	353	102	3178	171	2	882	492	130	424	129	949	359	1406	3945	3038	5315	416	433	4350	5931	14032	5843	11156	2052	27814	18929	38752	39211	66643	188114	913956	172355	28133	540	4734	288	773	0
LFQ	77	0	0	83081	0	0	304	72	2635	147	1	770	424	106	356	107	998	378	1221	3842	3080	5037	329	356	4188	6116	14209	5234	11320	1930	27933	18963	40106	40217	67612	192859	916360	164279	23846	412	3770	185	451	0
LFQ	78	0	0	89227	0	0	198	48	1828	102	3	583	256	38	222	65	922	339	1289	3815	3047	4766	285	366	3986	5929	14589	4524	11719	1707	28265	19336	40745	40940	69137	196246	917280	157434	20200	317	3124	104	253	0
LFQ	79	0	0	96349	0	0	39	10	711	36	1	259	84	20	112	45	817	368	1210	3616	2910	4392	183	342	3804	5841	14627	3835	11788	1566	28521	19558	41642	41401	69965	197834	918118	152636	17680	237	2512	52	113	0
LFQ	80	0	0	104354	0	0	0	0	0	1	0	1	0	0	11	3	829	394	1104	3696	2714	3700	137	380	3831	5921	13977	3370	11724	1353	27972	19536	42310	42080	71232	202404	914898	147166	15897	193	1988	17	41	0
LFQ	81	0	0	118110	0	0	0	0	0	0	0	0	0	0	0	0	2662	1469	3106	14067	8174	10031	449	1382	9859	14561	40017	8020	29897	3401	69755	43349	95094	93004	108748	362449	532109	65290	7152	189	880	4	6	0
# GC Content of first fragments. Use `grep ^GCF | cut -f 2-` to extract this part.
GCF	0.50	51
GCF	1.51	254
GCF	2.76	410
GCF	4.02	670
GCF	5.28	891
GCF	6.53	954
GCF	7.79	1026
GCF	9.05	1080
GCF	10.30	1160
GCF	11.56	1210
GCF	12.81	1201
GCF	14.07	1401
GCF	14.82	1657
GCF	15.33	1659
GCF	15.83	1949
GCF	16.58	1950
GCF	17.59	2738
GCF	18.34	3595
GCF	18.84	3594
GCF	19.35	3592
GCF	20.10	4317
GCF	20.85	6769
GCF	21.36	6770
GCF	21.86	6772
GCF	22.36	7899
GCF	22.86	7901
GCF	23.37	11180
GCF	23.87	11178
GCF	24.37	11181
GCF	25.13	14606
GCF	25.88	19546
GCF	26.38	19547
GCF	26.88	19546
GCF	27.39	26575
GCF	27.89	26578
GCF	28.39	35624
GCF	28.89	35628
GCF	29.40	47108
GCF	29.90	47110
GCF	30.40	47107
GCF	30.90	60112
GCF	31.41	60115
GCF	31.91	73332
GCF	32.41	73335
GCF	32.91	73337
GCF	33.42	84946
GCF	33.92	84947
GCF	34.42	95338
GCF	34.92	95342
GCF	35.43	95340
GCF	35.93	105632
GCF	36.43	105627
GCF	36.93	113059
GCF	37.44	113060
GCF	37.94	113061
GCF	38.44	114063
GCF	38.94	114066
GCF	39.45	113468
GCF	40.20	113462
GCF	40.95	109756
GCF	41.46	109754
GCF	41.96	99052
GCF	42.46	99055
GCF	42.96	89530
GCF	43.72	89533
GCF	44.47	80937
GCF	44.97	80934
GCF	45.48	65944
GCF	46.23	65947
GCF	46.98	55737
GCF	47.49	55743
GCF	48.24	44448
GCF	48.99	44442
GCF	49.50	36097
GCF	50.00	36091
GCF	50.50	29773
GCF	51.01	29772
GCF	51.51	29768
GCF	52.01	22182
GCF	52.51	22181
GCF	53.02	17870
GCF	53.77	17874
GCF	54.52	11935
GCF	55.03	11940
GCF	55.53	8105
GCF	56.03	8107
GCF	56.53	8106
GCF	57.04	5310
GCF	57.54	5312
GCF	58.04	4254
GCF	58.54	4251
GCF	59.05	2647
GCF	59.80	2646
GCF	60.80	2035
GCF	61.56	1560
GCF	62.06	1558
GCF	62.56	1557
GCF	63.07	1087
GCF	63.57	1088
GCF	64.07	625
GCF	64.82	626
GCF	65.58	381
GCF	66.08	380
GCF	67.09	194
GCF	68.09	118
GCF	68.59	119
GCF	69.35	49
GCF	70.10	48
GCF	70.85	45
GCF	71.86	41
GCF	73.12	18
GCF	74.37	22
GCF	75.63	3
GCF	76.88	6
GCF	78.64	2
GCF	80.65	1
GCF	81.91	2
GCF	83.17	1
GCF	84.42	0
GCF	85.43	1
# GC Content of last fragments. Use `grep ^GCL | cut -f 2-` to extract this part.
GCL	0.50	228
GCL	1.51	378
GCL	2.76	557
GCL	4.02	766
GCL	5.28	1066
GCL	6.53	1172
GCL	7.79	1131
GCL	9.05	1244
GCL	10.30	1307
GCL	11.56	1326
GCL	12.81	1500
GCL	14.07	1572
GCL	15.08	1848
GCL	16.33	2199
GCL	17.59	2973
GCL	18.84	3788
GCL	20.10	4523
GCL	21.11	6822
GCL	21.86	6821
GCL	22.36	8215
GCL	22.86	8216
GCL	23.62	11428
GCL	24.37	11430
GCL	25.13	14862
GCL	25.88	19981
GCL	26.63	19980
GCL	27.64	27368
GCL	28.64	35862
GCL	29.40	47202
GCL	30.15	47203
GCL	30.90	60321
GCL	31.41	60319
GCL	31.91	72923
GCL	32.41	72925
GCL	32.91	72926
GCL	33.67	84695
GCL	34.42	94534
GCL	35.18	94536
GCL	35.93	106004
GCL	36.43	106003
GCL	36.93	111863
GCL	37.69	111864
GCL	38.44	114207
GCL	38.94	114206
GCL	39.45	113092
GCL	40.20	113091
GCL	41.21	108819
GCL	41.96	98664
GCL	42.46	98666
GCL	42.96	88261
GCL	43.47	88262
GCL	43.97	88264
GCL	44.47	80660
GCL	44.97	80658
GCL	45.48	66144
GCL	45.98	66145
GCL	46.48	66143
GCL	47.24	55550
GCL	48.24	44330
GCL	48.99	44332
GCL	49.50	35801
GCL	50.00	35803
GCL	50.50	29393
GCL	51.01	29395
GCL	51.51	29392
GCL	52.01	22350
GCL	52.51	22346
GCL	53.02	17775
GCL	53.52	17773
GCL	54.02	17774
GCL	54.77	11935
GCL	55.53	7975
GCL	56.03	7976
GCL	56.53	7975
GCL	57.04	5313
GCL	57.54	5314
GCL	58.04	4063
GCL	58.54	4064
GCL	59.30	2638
GCL	60.05	2635
GCL	60.55	2057
GCL	61.06	2056
GCL	61.81	1634
GCL	62.56	1636
GCL	63.32	1164
GCL	64.57	759
GCL	65.58	414
GCL	66.08	415
GCL	66.83	212
GCL	67.59	213
GCL	68.09	146
GCL	68.59	145
GCL	69.35	101
GCL	70.10	100
GCL	70.85	66
GCL	71.86	64
GCL	73.12	42
GCL	74.37	36
GCL	75.63	23
GCL	76.88	22
GCL	78.14	10
GCL	79.40	13
GCL	80.65	9
GCL	81.91	7
GCL	83.17	6
GCL	84.42	7
GCL	85.43	6
GCL	86.68	3
GCL	87.94	2
GCL	90.95	1
GCL	94.72	2
GCL	96.73	0
GCL	97.99	1
# ACGT content per cycle. Use `grep ^GCC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
GCC	1	30.56	19.99	18.82	30.63	0.04	0.00
GCC	2	30.63	20.10	18.89	30.39	0.01	0.00
GCC	3	30.81	19.93	18.78	30.48	0.01	0.00
GCC	4	30.90	20.03	18.60	30.48	0.01	0.00
GCC	5	30.85	19.91	18.77	30.47	0.01	0.00
GCC	6	30.62	19.86	18.80	30.73	0.01	0.00
GCC	7	30.61	19.69	18.81	30.89	0.01	0.00
GCC	8	30.69	20.07	18.61	30.64	0.01	0.00
GCC	9	30.85	19.85	18.75	30.55	0.02	0.00
GCC	10	30.69	19.96	18.65	30.71	0.01	0.00
GCC	11	30.72	20.02	18.85	30.41	0.01	0.00
GCC	12	30.61	19.96	18.83	30.60	0.02	0.00
GCC	13	30.71	19.83	18.90	30.57	0.02	0.00
GCC	14	30.61	20.02	18.86	30.51	0.02	0.00
GCC	15	30.66	19.94	18.79	30.60	0.02	0.00
GCC	16	30.81	19.83	18.80	30.55	0.02	0.00
GCC	17	30.85	19.89	18.80	30.46	0.03	0.00
GCC	18	30.66	19.90	18.88	30.56	0.02	0.00
GCC	19	30.90	19.79	18.64	30.66	0.02	0.00
GCC	20	30.81	19.93	18.66	30.61	0.02	0.00
GCC	21	30.92	19.71	18.64	30.72	0.02	0.00
GCC	22	30.69	19.88	18.55	30.88	0.02	0.00
GCC	23	30.71	19.93	18.90	30.46	0.02	0.00
GCC	24	30.62	20.09	18.84	30.45	0.07	0.00
GCC	25	30.81	19.75	18.75	30.69	0.08	0.00
GCC	26	30.57	20.02	18.71	30.70	0.06	0.00
GCC	27	30.87	19.82	18.65	30.66	0.05	0.00
GCC	28	30.81	19.72	18.73	30.73	0.04	0.00
GCC	29	30.82	19.73	18.61	30.85	0.04	0.00
GCC	30	30.76	19.82	18.60	30.81	0.03	0.00
GCC	31	30.85	19.73	18.73	30.68	0.04	0.00
GCC	32	30.76	20.13	18.57	30.54	0.03	0.00
GCC	33	30.74	19.81	18.80	30.65	0.04	0.00
GCC	34	30.73	20.00	18.80	30.47	0.05	0.00
GCC	35	30.78	19.68	18.78	30.76	0.03	0.00
GCC	36	30.61	20.08	18.69	30.62	0.05	0.00
GCC	37	30.94	19.79	18.49	30.78	0.03	0.00
GCC	38	30.74	19.88	18.77	30.62	0.03	0.00
GCC	39	30.66	19.99	18.75	30.60	0.03	0.00
GCC	40	30.70	19.76	18.55	30.98	0.04	0.00
GCC	41	30.50	20.15	18.65	30.69	0.04	0.00
GCC	42	30.64	19.90	18.71	30.75	0.04	0.00
GCC	43	30.85	19.76	18.56	30.84	0.04	0.00
GCC	44	30.73	19.89	18.67	30.71	0.03	0.00
GCC	45	30.77	19.79	18.74	30.69	0.04	0.00
GCC	46	30.72	19.85	18.73	30.69	0.05	0.00
GCC	47	30.71	19.79	18.81	30.70	0.04	0.00
GCC	48	30.87	19.86	18.60	30.67	0.05	0.00
GCC	49	30.92	19.81	18.78	30.49	0.05	0.00
GCC	50	30.76	19.92	18.79	30.53	0.05	0.00
GCC	51	30.83	19.95	18.49	30.73	0.04	0.00
GCC	52	30.92	19.73	18.69	30.66	0.04	0.00
GCC	53	30.70	19.94	18.68	30.68	0.03	0.00
GCC	54	30.82	19.85	18.72	30.61	0.04	0.00
GCC	55	30.82	19.72	18.67	30.79	0.05	0.00
GCC	56	30.65	20.02	18.62	30.70	0.04	0.00
GCC	57	30.88	19.65	18.72	30.76	0.05	0.00
GCC	58	30.64	19.89	18.58	30.89	0.06	0.00
GCC	59	30.81	19.70	18.64	30.86	0.05	0.00
GCC	60	30.86	19.78	18.79	30.56	0.05	0.00
GCC	61	30.79	19.67	18.78	30.76	0.05	0.00
GCC	62	30.63	19.86	18.89	30.62	0.04	0.00
GCC	63	30.69	19.75	18.86	30.71	0.04	0.00
GCC	64	30.62	19.91	18.57	30.90	0.05	0.00
GCC	65	30.73	19.93	18.81	30.53	0.04	0.00
GCC	66	30.61	20.02	18.75	30.62	0.04	0.00
GCC	67	30.72	19.92	18.65	30.71	0.05	0.00
GCC	68	30.58	19.88	18.80	30.74	0.04	0.00
GCC	69	30.52	19.97	18.70	30.82	0.04	0.00
GCC	70	30.76	19.85	18.73	30.66	0.03	0.00
GCC	71	30.69	19.82	18.75	30.74	0.05	0.00
GCC	72	30.92	19.91	18.59	30.58	0.04	0.00
GCC	73	30.64	19.90	18.71	30.76	0.04	0.00
GCC	74	30.78	19.81	18.72	30.70	0.03	0.00
GCC	75	30.54	20.08	18.86	30.51	0.04	0.00
GCC	76	30.71	19.79	18.87	30.63	0.03	0.00
GCC	77	30.46	20.23	18.81	30.50	0.04	0.00
GCC	78	30.66	19.90	18.85	30.59	0.05	0.00
GCC	79	30.48	20.12	18.80	30.61	0.03	0.00
GCC	80	30.47	19.86	18.96	30.71	0.04	0.00
GCC	81	30.47	20.19	18.84	30.50	0.03	0.00
# ACGT content per cycle, read oriented. Use `grep ^GCT | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]
GCT	1	30.41	19.39	19.42	30.78
GCT	2	30.20	19.42	19.57	30.81
GCT	3	30.54	19.53	19.18	30.74
GCT	4	30.83	19.33	19.30	30.54
GCT	5	30.41	19.42	19.26	30.91
GCT	6	30.60	19.49	19.17	30.75
GCT	7	30.74	19.17	19.33	30.77
GCT	8	30.44	19.33	19.34	30.89
GCT	9	30.78	19.35	19.25	30.62
GCT	10	30.79	19.12	19.48	30.61
GCT	11	30.45	19.41	19.46	30.68
GCT	12	30.62	19.60	19.19	30.59
GCT	13	30.64	19.50	19.23	30.63
GCT	14	30.24	19.28	19.60	30.88
GCT	15	30.60	19.32	19.42	30.66
GCT	16	30.51	19.05	19.59	30.86
GCT	17	30.68	19.36	19.32	30.63
GCT	18	30.56	19.41	19.38	30.65
GCT	19	30.85	19.15	19.28	30.72
GCT	20	30.59	19.26	19.33	30.83
GCT	21	30.67	19.01	19.34	30.97
GCT	22	30.81	19.21	19.22	30.76
GCT	23	30.45	19.43	19.41	30.72
GCT	24	30.41	19.46	19.47	30.66
GCT	25	30.87	19.14	19.35	30.63
GCT	26	30.67	19.28	19.45	30.60
GCT	27	30.74	19.26	19.21	30.79
GCT	28	30.90	19.34	19.12	30.65
GCT	29	30.60	19.14	19.20	31.07
GCT	30	30.65	19.40	19.02	30.92
GCT	31	30.70	19.23	19.23	30.84
GCT	32	30.52	19.32	19.39	30.78
GCT	33	30.76	19.31	19.30	30.63
GCT	34	30.61	19.25	19.55	30.59
GCT	35	30.62	19.19	19.27	30.92
GCT	36	30.52	19.45	19.31	30.71
GCT	37	30.85	19.02	19.26	30.87
GCT	38	30.50	19.33	19.31	30.86
GCT	39	30.47	19.33	19.41	30.78
GCT	40	30.82	19.10	19.21	30.86
GCT	41	30.45	19.40	19.41	30.75
GCT	42	30.56	19.23	19.38	30.83
GCT	43	30.79	19.28	19.03	30.89
GCT	44	30.48	19.20	19.35	30.96
GCT	45	30.58	19.30	19.24	30.88
GCT	46	30.65	19.37	19.22	30.77
GCT	47	30.61	19.27	19.32	30.79
GCT	48	30.79	19.48	18.98	30.75
GCT	49	30.91	19.16	19.43	30.50
GCT	50	30.50	19.22	19.49	30.79
GCT	51	30.69	19.20	19.24	30.87
GCT	52	30.74	19.15	19.27	30.84
GCT	53	30.55	19.31	19.32	30.83
GCT	54	30.65	19.32	19.25	30.78
GCT	55	30.78	19.10	19.29	30.83
GCT	56	30.53	19.27	19.37	30.83
GCT	57	30.79	19.17	19.19	30.84
GCT	58	30.79	19.20	19.27	30.74
GCT	59	30.80	19.22	19.12	30.87
GCT	60	30.51	19.41	19.17	30.91
GCT	61	30.85	19.09	19.37	30.69
GCT	62	30.61	19.31	19.44	30.64
GCT	63	30.53	19.34	19.27	30.86
GCT	64	30.93	19.32	19.16	30.59
GCT	65	30.41	19.37	19.37	30.85
GCT	66	30.58	19.32	19.45	30.65
GCT	67	30.74	19.26	19.31	30.69
GCT	68	30.43	19.24	19.44	30.89
GCT	69	30.59	19.46	19.20	30.75
GCT	70	30.67	19.39	19.19	30.76
GCT	71	30.60	19.17	19.40	30.84
GCT	72	30.80	19.33	19.17	30.70
GCT	73	30.95	19.35	19.26	30.44
GCT	74	30.70	19.15	19.37	30.77
GCT	75	30.51	19.64	19.31	30.55
GCT	76	30.65	19.36	19.30	30.69
GCT	77	30.40	19.72	19.32	30.57
GCT	78	30.48	19.43	19.32	30.76
GCT	79	30.44	19.49	19.42	30.65
GCT	80	30.15	19.37	19.45	31.04
GCT	81	30.28	19.71	19.32	30.69
# ACGT content per cycle for first fragments. Use `grep ^FBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
FBC	1	30.54	20.00	18.86	30.60	0.00	0.00
FBC	2	30.64	20.12	18.88	30.35	0.00	0.00
FBC	3	30.81	19.91	18.81	30.46	0.00	0.00
FBC	4	30.91	20.04	18.59	30.45	0.00	0.00
FBC	5	30.82	19.92	18.78	30.48	0.00	0.00
FBC	6	30.60	19.84	18.78	30.78	0.01	0.00
FBC	7	30.61	19.67	18.82	30.90	0.01	0.00
FBC	8	30.67	20.06	18.62	30.65	0.01	0.00
FBC	9	30.86	19.83	18.76	30.54	0.01	0.00
FBC	10	30.70	19.97	18.67	30.66	0.00	0.00
FBC	11	30.72	20.01	18.85	30.41	0.01	0.00
FBC	12	30.59	19.91	18.90	30.60	0.01	0.00
FBC	13	30.70	19.86	18.91	30.53	0.01	0.00
FBC	14	30.63	20.04	18.83	30.51	0.01	0.00
FBC	15	30.68	19.94	18.77	30.60	0.00	0.00
FBC	16	30.80	19.87	18.82	30.51	0.01	0.00
FBC	17	30.87	19.90	18.80	30.43	0.01	0.00
FBC	18	30.68	19.86	18.89	30.57	0.00	0.00
